filename,compound_name,area
230810_Poo_G5_NFEX_Full5.mzML,"Proline 1(15N), 1(13C)",9149.112096468016
230810_Poo_G5_NFEX_Full5.mzML,"Proline Betaine 0(15N), 0(13C)",506961.2127254758
230810_Poo_G5_NFEX_Full5.mzML,"Proline Betaine 0(15N), 1(13C)",32603.1187431727
230810_Poo_G5_NFEX_Full5.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",1872556.707632948
230810_Poo_G5_NFEX_Full5.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",58332.72803117424
230810_Poo_G5_NFEX_Full5.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",27565.63461730606
230810_Poo_G5_NFEX_Full6.mzML,"Carnitine 0(15N), 0(13C)",651757.0497880819
230810_Poo_G5_NFEX_Full6.mzML,"Carnitine 0(15N), 1(13C)",47265.6730360037
230810_Poo_G5_NFEX_Full6.mzML,"Carnitine 1(15N), 0(13C)",22070.456723761115
230810_Poo_G5_NFEX_Full6.mzML,"Choline 0(15N), 0(13C)",22414.660682511727
230810_Poo_G5_NFEX_Full6.mzML,"Dimethylglycine 0(15N), 0(13C)",2033001.7127868508
230810_Poo_G5_NFEX_Full6.mzML,"Dimethylglycine 0(15N), 1(13C)",85665.01605937541
