filename,compound_name,area,cmpd_type,samp_type,day
230831_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",2149808,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",3584606,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",475981,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",70933,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",255687,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",3111752,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4548313,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4844575,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",30524096,Non-IS,Smp,24
230831_Smp_LabBlk_1_A,"Glycine betaine 0(15N), 0(13C)",17519428,Non-IS,Smp,NA
230831_Smp_LabBlk_1_B,"Glycine betaine 0(15N), 0(13C)",6118853,Non-IS,Smp,NA
230831_Smp_LabBlk_1_C,"Glycine betaine 0(15N), 0(13C)",7633273,Non-IS,Smp,NA
230831_Smp_LabBlk_1_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",29565426,Non-IS,Smp,NA
230831_Smp_LabBlk_2_A,"Glycine betaine 0(15N), 0(13C)",38384688,Non-IS,Smp,NA
230831_Smp_LabBlk_2_B,"Glycine betaine 0(15N), 0(13C)",39654992,Non-IS,Smp,NA
230831_Smp_LabBlk_2_C,"Glycine betaine 0(15N), 0(13C)",82056864,Non-IS,Smp,NA
230831_Smp_LabBlk_3_A,"Glycine betaine 0(15N), 0(13C)",110168536,Non-IS,Smp,NA
230831_Smp_LabBlk_3_B,"Glycine betaine 0(15N), 0(13C)",4486878,Non-IS,Smp,NA
230831_Smp_LabBlk_3_C,"Glycine betaine 0(15N), 0(13C)",5213535,Non-IS,Smp,NA
230831_Smp_LabBlk_4_A,"Glycine betaine 0(15N), 0(13C)",4332889,Non-IS,Smp,NA
230831_Smp_LabBlk_4_B,"Glycine betaine 0(15N), 0(13C)",4945201,Non-IS,Smp,NA
230831_Smp_LabBlk_4_C,"Glycine betaine 0(15N), 0(13C)",12894416,Non-IS,Smp,NA
230831_Smp_LabBlk_5_A,"Glycine betaine 0(15N), 0(13C)",12799174,Non-IS,Smp,NA
230831_Smp_LabBlk_5_B,"Glycine betaine 0(15N), 0(13C)",2194029,Non-IS,Smp,NA
230831_Smp_LabBlk_5_C,"Glycine betaine 0(15N), 0(13C)",2022220,Non-IS,Smp,NA
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 1(13C)",9668,Non-IS,Std,NA
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 1(13C)",23888,Non-IS,Std,NA
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 1(13C)",8457764,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 1(13C)",5547556,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 1(13C)",4194105,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 1(13C)",4553345,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 1(13C)",118606816,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 1(13C)",119432632,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 1(13C)",125444864,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 1(13C)",107744456,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 1(13C)",124187944,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 1(13C)",130262248,Non-IS,Std,NA
230831_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 1(13C)",15273,Non-IS,Std,NA
230831_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 1(13C)",199480,Non-IS,Std,NA
230831_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 1(13C)",4675332,Non-IS,Std,NA
230831_Poo_G5_NFEX-CatEx_Full1,"Glycine betaine 0(15N), 1(13C)",7779366,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full2,"Glycine betaine 0(15N), 1(13C)",75883,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full3,"Glycine betaine 0(15N), 1(13C)",7467217,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full4,"Glycine betaine 0(15N), 1(13C)",386120,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full5,"Glycine betaine 0(15N), 1(13C)",7600870,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full6,"Glycine betaine 0(15N), 1(13C)",357114,Non-IS,Poo,NA
