filename,compound_name,area,cmpd_type,samp_type,day
230810_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",2589378048,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",2254413312,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",2169010176,Non-IS,Smp,6
230810_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",2685647616,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",3122052608,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",2498651904,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",3548485888,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",1953170944,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",2643959296,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",3110155776,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",2731729664,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",3913349376,Non-IS,Smp,12
230810_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",1988539392,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",1957502976,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",2103281280,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",2462105856,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",2448636672,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",2671509760,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",2366303232,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",1973884672,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",2706666752,Non-IS,Smp,24
230810_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 1(13C)",30623,Non-IS,Std,NA
230810_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 1(13C)",29224,Non-IS,Std,NA
230810_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 1(13C)",NA,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 1(13C)",99035320,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 1(13C)",78656048,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 1(13C)",78322696,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 1(13C)",96886256,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 1(13C)",98184792,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 1(13C)",90795664,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 1(13C)",180304576,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 1(13C)",175565184,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 1(13C)",184049136,Non-IS,Std,NA
230810_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 1(13C)",113857040,Non-IS,Std,NA
230810_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 1(13C)",44532,Non-IS,Std,NA
230810_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 1(13C)",89294280,Non-IS,Std,NA
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Glycine betaine 0(15N), 1(13C)",3404980,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Glycine betaine 0(15N), 1(13C)",5319937,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Glycine betaine 0(15N), 1(13C)",4611714,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Glycine betaine 0(15N), 1(13C)",11693314,Non-IS,Blk,24
230810_Poo_G5_NFEX_Full1,"Glycine betaine 0(15N), 1(13C)",144435904,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full2,"Glycine betaine 0(15N), 1(13C)",178880352,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full3,"Glycine betaine 0(15N), 1(13C)",134248192,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full4,"Glycine betaine 0(15N), 1(13C)",142855712,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full5,"Glycine betaine 0(15N), 1(13C)",144196864,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full6,"Glycine betaine 0(15N), 1(13C)",138535888,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full7,"Glycine betaine 0(15N), 1(13C)",144478544,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full8,"Glycine betaine 0(15N), 1(13C)",136853792,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full9,"Glycine betaine 0(15N), 1(13C)",137218592,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full10,"Glycine betaine 0(15N), 1(13C)",139819680,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full11,"Glycine betaine 0(15N), 1(13C)",137780576,Non-IS,Poo,NA
230810_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 1(13C)",275288544,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 1(13C)",272827360,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 1(13C)",281261760,Non-IS,Smp,0
230810_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",131123688,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",160120704,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",158904720,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",161336288,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",138452832,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",177554416,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",144651664,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",123774008,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",119384096,Non-IS,Smp,6
230810_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",148214304,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",172231600,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",137897344,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",196404320,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",108466584,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",145374864,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",170265136,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",152004112,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",219591840,Non-IS,Smp,12
230810_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",107696896,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",105801040,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",114277744,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",132637136,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",19071,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",146866784,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",131910824,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",109979296,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",150903040,Non-IS,Smp,24
230810_Std_4uMStdsMix1InH2O_1,"Glycine betaine 1(15N), 0(13C)",187433,Non-IS,Std,NA
230810_Std_4uMStdsMix1InH2O_2,"Glycine betaine 1(15N), 0(13C)",NA,Non-IS,Std,NA
230810_Std_4uMStdsMix1InH2O_3,"Glycine betaine 1(15N), 0(13C)",NA,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 1(15N), 0(13C)",98419744,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 1(15N), 0(13C)",80583040,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 1(15N), 0(13C)",79277280,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_1,"Glycine betaine 1(15N), 0(13C)",31736,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_2,"Glycine betaine 1(15N), 0(13C)",6350696,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_3,"Glycine betaine 1(15N), 0(13C)",5911571,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 1(15N), 0(13C)",105249640,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 1(15N), 0(13C)",91684232,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 1(15N), 0(13C)",94298128,Non-IS,Std,NA
230810_Std_H2OinMatrix_1,"Glycine betaine 1(15N), 0(13C)",113558184,Non-IS,Std,NA
230810_Std_H2OinMatrix_2,"Glycine betaine 1(15N), 0(13C)",89909432,Non-IS,Std,NA
230810_Std_H2OinMatrix_3,"Glycine betaine 1(15N), 0(13C)",88934912,Non-IS,Std,NA
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Glycine betaine 1(15N), 0(13C)",7214035,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Glycine betaine 1(15N), 0(13C)",474804,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Glycine betaine 1(15N), 0(13C)",82372,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Glycine betaine 1(15N), 0(13C)",76239,Non-IS,Blk,24
230810_Poo_G5_NFEX_Full1,"Glycine betaine 1(15N), 0(13C)",146681376,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full2,"Glycine betaine 1(15N), 0(13C)",179658800,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full3,"Glycine betaine 1(15N), 0(13C)",136569088,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full4,"Glycine betaine 1(15N), 0(13C)",143695520,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full5,"Glycine betaine 1(15N), 0(13C)",145116176,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full6,"Glycine betaine 1(15N), 0(13C)",107475,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full7,"Glycine betaine 1(15N), 0(13C)",42485,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full8,"Glycine betaine 1(15N), 0(13C)",138376016,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full9,"Glycine betaine 1(15N), 0(13C)",138743280,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full10,"Glycine betaine 1(15N), 0(13C)",141029344,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full11,"Glycine betaine 1(15N), 0(13C)",139420928,Non-IS,Poo,NA
230810_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 1(15N), 0(13C)",18335056,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 1(15N), 0(13C)",17318316,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 1(15N), 0(13C)",18892772,Non-IS,Smp,0
230810_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 1(15N), 0(13C)",67987440,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 1(15N), 0(13C)",70393,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 1(15N), 0(13C)",83617216,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 1(15N), 0(13C)",48130536,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 1(15N), 0(13C)",24398882,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 1(15N), 0(13C)",57807344,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 1(15N), 0(13C)",34737400,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 1(15N), 0(13C)",33649500,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 1(15N), 0(13C)",35422556,Non-IS,Smp,6
230810_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 1(15N), 0(13C)",204683664,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 1(15N), 0(13C)",222654864,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 1(15N), 0(13C)",201407360,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 1(15N), 0(13C)",198903520,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 1(15N), 0(13C)",19380,Non-IS,Smp,12
