compound_name,filename,nM,hour
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_C,0.2636691517144416,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,0.25045165908996886,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_1_A,0.07817344134424553,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_1_B,0.006680491970605733,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_1_C,0.012277849297907381,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_1_C_2ndInj,0.16458596147083793,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_2_A,0.05203448806031346,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_2_B,0.053423260769641996,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_2_C,0.10227213456463936,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_3_A,0.10659897599078158,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_3_B,0.012805651195019556,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_3_C,0.09849414077039424,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_4_A,0.007159272228364941,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_4_B,0.06435293819760231,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_4_C,0.08924231171973532,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_5_A,0.010436538388691935,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_5_B,0.10977946426884722,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_LabBlk_5_C,0.12031031903983684,NA
"Glycine betaine 1(15N), 0(13C)",230831_Std_4uMStdsMix1InH2O_1,NA,NA
